Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1389082780835926016,monserratcream1,4,19,ORG,0.7961
1389082797038518273,panamá,24,30,LOC,1.0
1389082797038518273,mauricioreynal,97,111,ORG,0.3745
1389082808241561600,windows pirata,61,75,MISC,0.9999
1389082855586807809,siempretuhija,4,17,ORG,0.9789
1389082857860120576,méxico,0,6,LOC,0.9131
1389082857860120576,covid-19,52,60,MISC,0.9999
1389082859432988672,omarmaluk,4,13,ORG,0.9834
1389082859432988672,fabriciovelav,16,29,PER,0.9061
1389082859432988672,eluniversocom,31,44,ORG,0.9781
1389082863572852741,colombiasimpson,4,19,ORG,0.983
1389082863572852741,bogotá,33,39,LOC,1.0
1389082863572852741,policía,43,50,ORG,0.9999
1389082863572852741,cedritos,105,113,LOC,0.9993
1389082863572852741,claudia lópez,115,128,PER,0.9999
1389082875551633412,corona,9,15,LOC,0.9999
1389082881709027332,claudiashein,4,16,PER,0.6412
1389082881709027332,ciudad,82,88,LOC,0.9994
1389082881709027332,covid19,99,106,MISC,0.9999
1389082889023901696,champagnedekiki,4,19,ORG,0.5645
1389082889023901696,maracaibo,71,80,LOC,1.0
1389082891280293888,rusia,47,52,ORG,0.9993
1389082891280293888,favipiravir,80,91,MISC,0.9999
1389082891280293888,india,94,99,LOC,0.9995
1389082891280293888,rusia,125,130,ORG,0.9964
1389082891280293888,india,146,151,LOC,0.9967
1389082891280293888,covid-19,169,177,MISC,0.9999
1389082901283737600,andru,4,9,PER,0.9985
1389082901283737600,corre,10,15,PER,0.9997
1389082909869551617,mppeducacion,4,16,ORG,0.9998
1389082909869551617,envivo,18,24,ORG,0.9995
1389082909869551617,pandemia del covid19,92,112,MISC,0.9997
1389082909869551617,nicolasmaduro fuertes,115,136,PER,0.9799
1389082910855245826,larepublica,4,15,ORG,0.9947
1389082910855245826,sagasti,20,27,PER,0.9999
1389082910855245826,francisco sagasti,104,121,PER,0.9999
1389082926781018112,boy,9,12,MISC,0.7303
1389082926781018112,lenin,91,96,PER,0.9999
1389082926781018112,jorgewated,98,108,PER,0.9899
1389082926781018112,salud,110,115,MISC,0.9308
1389082926781018112,ec,116,118,MISC,0.9415
1389082928160858114,vacunacovid19,88,101,MISC,0.9976
1389082933504483329,estebanochoac,4,17,PER,0.9997
1389082933504483329,claudia,19,26,PER,0.9994
1389082936176164867,claudiashein,4,16,PER,0.6412
1389082936176164867,ciudad,82,88,LOC,0.9994
1389082936176164867,covid19,99,106,MISC,0.9999
1389082938793504768,shawnmvotes,1,12,PER,0.997
1389082938793504768,shawnaccess,15,26,PER,0.9777
1389082938793504768,jfcshawnmendes,34,48,MISC,0.7515
1389082941473660930,idconline,4,13,ORG,1.0
1389082941473660930,covid-19,40,48,MISC,0.9999
1389082945596661761,carolinacorcho,4,18,PER,0.9987
1389082945596661761,covid,115,120,MISC,0.9405
1389082947500785664,lamascheneta,4,16,PER,0.9757
1389082947500785664,alberto,25,32,PER,0.9972
1389082947899232261,clauv90,4,11,PER,0.9873
1389082947899232261,ps5,36,39,MISC,0.9986
1389082948817858560,rae,144,147,ORG,0.9999
1389082951183384576,i,4,5,PER,0.6016
1389082951183384576,cat,6,9,PER,0.6755
1389082951183384576,lliure,10,16,PER,0.3717
1389082951183384576,bolivia,21,28,LOC,0.9999
1389082951183384576,covid19,48,55,MISC,0.9999
1389082951183384576,cds,67,70,ORG,0.9999
1389082953200848896,ssa,63,66,ORG,0.6269
1389082959064576000,claudia,108,115,PER,0.9999
1389082968157822979,tamaulipassalud,4,19,ORG,0.9997
1389082968157822979,comunicado oficial,21,39,MISC,0.8652
1389082968157822979,salud,45,50,ORG,0.998
1389082968157822979,covid19,87,94,MISC,0.9999
1389082971605553152,donadolforivas,4,18,ORG,0.8766
