"","V4","total"
"315","@briantylercohen",49311
"316","@eakarattkn",49264
"317","@horamiji",49061
"318","@b20e",49014
"319","@realhomomarcus",48914
"320","@jreganwilliams",48855
"321","@bobabiss",48826
"322","@masonthisis",48718
"323","@jujuchangabc",48692
"324","@jakeesther",48432
"325","@IngrahamAngle",48296
"326","@barackobama",48217
"327","@orthofl",48119
"328","@nanaicez",48052
"329","@7eandra",47966
"330","@jbrous41",47736
"331","@tinnkky",47683
"332","@OlaTinee",47417
"333","@AsiaChloeBrown",47409
"334","@bladehalll",47343
"335","@venieshaaa",47141
"336","@repswalwell",47090
"337","@khairykj",46885
"338","@swaggywille",46871
"339","@60Minutes",46811
"340","@maiwarit",46799
"341","@danrather",46626
"342","@keepoffgrass",46607
"343","@davew97",46548
"344","@kdtrey5",46527
"345","@VONN3K",46503
"346","@billiebelieves",45968
"347","@layc04",45851
"348","@phatchara3",45803
"349","@LWTPOLAROlD",45799
"350","@micahhsic",45787
"351","@herosnvrdie69",45699
"352","@renanbernardo",45588
"353","@bluskyz",45567
"354","@FirstTryKai",45238
"355","@mythinformedmke",45127
"356","@chrislhayes",45120
"357","@superm",45013
"358","@florsles",45010
"359","@baabyyast",44784
"360","@nuffsaidny",44574
"361","@SHNDY1312",44485
"362","@wangseaver",44447
"363","@carrothusband",44415
"364","@melhuman",44359
"365","@cubacooperaven",44301
"366","@teaxtarot",44267
"367","@joeblack317",44181
"368","@rockintunesman",44179
"369","@giphxyz",44153
"370","@earthangeleve",44081
"371","@maukungung",44071
"372","@Carlos4PF",44046
"373","@jordanzakarin",43894
"374","@lsabelladani",43779
"375","@wirojlak",43588
"376","@ItsJustShay",43534
"377","@mamamapounds",43322
"378","@NickHintonn",43276
"379","@joncoopertweets",43032
"380","@morekimo",42827
"381","@chloedontsurf",42641
"382","@mothcharm",42615
"383","@youniqsy",42454
"384","@tonyferraro7",42450
"385","@peachyblackg0rl",42402
"386","@lavendernvelv",42388
"387","@rebekkarnold",42371
"388","@sahelhaque",42361
