Tweet_ID,Mentions
1439529758396669956,@orangees
1439529758744727552,@paramsingholics
1439529758744727552,@8paramsingh
1439529758887333888,@DrEricDing
1439529759013281794,@AKamikatz
1439529759013281794,@Christi43738671
1439529759738892288,@YouTube
1439529759919247363,@BernieSpofforth
1439529760288215043,@TicketmasterCS
1439529760288215043,@Ticketmaster
1439529760288215043,@Glittered
1439529760288215043,@MassiveWagons
1439529760288215043,@ChrisCatalyst
1439529760489627652,@Makoto1960
1439529760930123781,@RebelNewsOnline
1439529761131302913,@formerlyashley
1439529761798303745,@DocteurGonzo4
1439529762033074178,@MSNBC
1439529762096128001,@RicardoMinute
1439529762246909953,@AGJKLS1
1439529762641354753,@EgosShadow7
1439529762699890690,@nikkei
1439529762800668673,@PiotrSchramm
1439529762922192896,@dazai404
1439529763081646084,@Barb78672285
1439529763207401474,@theceykey
1439529763408859138,@WijnenTonnie
1439529763614302212,@kiwiwayne1
1439529763794821122,@bjornfri2020
1439529764507815942,@fabiofaria
1439529764520222724,@BillGates
1439529765375909890,@Kchartsofflcial
1439529765719867397,@AGJKLS1
1439529766122491905,@Kanboukansen
1439529766151852033,@EgosShadow7
1439529766621573121,@AGJKLS1
1439529767254953985,@LiuLiu92266749
1439529768169340934,@EgosShadow7
1439529768882360323,@dalbitbangtan
1439529768882360323,@BTStwt
1439529768907509762,@tetsumonchi
1439529769083838465,@SanderLab
1439529769368965120,@brienico
1439529769452802057,@rebeccamakkai
1439529769813618689,@OptimisticRight
1439529769813618689,@gertjansegers
1439529770232987650,@withlovebts7
1439529770736361474,@HuhtasaariSaara
1439529771000422403,@1Crops1PR
1439529771214336001,@Mhannwella
1439529771881402368,@prideofsthelens
1439529771881402368,@TheKirkfield
1439529772120485892,@nooevpler1
1439529772237811716,@fIeurlalisa
1439529772384612352,@Mhannwella
1439529772795801601,@123itsmeMary
1439529773831634944,@eicvsfascism
1439529773961658370,@EgosShadow7
1439529775270440962,@BanounHelene
1439529775564050432,@JoergMeuthen
1439529775723253762,@fIeurlalisa
1439529776079904773,@newsmax
1439529776079904773,@Salon
1439529776578957312,@HarbRimah
1439529776847355910,@AshleyLeahy
1439529777094803463,@frances24bb1
1439529777560436736,@fphilippot
1439529777715687425,@renechiche
1439529778315501572,@123itsmeMary
1439529778424340480,@Mhannwella
1439529778445307908,@EgosShadow7
1439529778546155523,@AmacAllahRizasi
1439529778755694593,@Mhannwella
1439529778932076548,@Mikenotsoyeadon
1439529779657523205,@Mhannwella
1439529779682689029,@Kchartsofflcial
1439529779959500800,@AVEmpire3
1439529780097871875,@Tammyocanada
1439529780710367233,@DunKrugerEffect
1439529780710367233,@DamnYouHenne
1439529780710367233,@TBTimes
1439529781079396356,@baddominicana
1439529782337671170,@withlovebts7
1439529784044888075,@susanmason66
1439529785487679492,@EBFUDA
1439529785487679492,@CraigKellyMP
1439529785529622528,@LInfirmier0ff
1439529786582261765,@Nadesh90021
1439529786758471680,@MikeCarlton01
1439529786943156228,@raouljdegroot
1439529786943156228,@rubenivangaalen
1439529787308003330,@AccessForAll7
1439529787308003330,@IrishRail
1439529787308003330,@TFIupdates
1439529787308003330,@EamonRyan
1439529787308003330,@mulvanypeopleb1
1439529787308003330,@RBoydBarrett
1439529787308003330,@AnneRabbitte
1439529787308003330,@rodericogorman
1439529787308003330,@centralre
1439529787488301056,@EgosShadow7
1439529788096585735,@SufridoresMetro
1439529788096585735,@metromadrid
1439529788096585735,@davidperez
1439529788130082819,@prideofsthelens
